bigram	frequency
let jove	3
go among	3
may set	3
like ulysses	3
ulysses sat	3
fingered morn	3
true comrade	3
sweet slumber	3
going right	3
mighty husband	3
may look	3
old king	3
shall hardly	3
get hold	3
will know	3
quite still	3
daily duties	3
yet bring	3
meanwhile hector	3
wife penelope	3
answered juno	3
awful goddess	3
meanwhile menelaus	3
set stakes	3
kept looking	3
thoas son	3
every nerve	3
felt sure	3
goddess minerva	3
others will	3
infant son	3
bringing fire	3
coming near	3
mother bore	3
gave way	3
people gathered	3
quite clean	3
much care	3
supper ready	3
men say	3
make drink	3
waiting till	3
agamemnon said	3
heavenly beings	3
now pay	3
two champions	3
juno smiled	3
neither rich	3
go forward	3
large flock	3
put fresh	3
men came	3
ajax struck	3
ulysses followed	3
two nights	3
hector marked	3
might get	3
iris fleet	3
old days	3
many trojans	3
left shoulder	3
well made	3
longer divided	3
will run	3
us take	3
river satnioeis	3
eumaeus answered	3
city walls	3
warm water	3
set battle	3
lying tale	3
juno sent	3
apollo beat	3
chief man	3
grew dark	3
never went	3
edged axes	3
men agamemnon	3
will fling	3
wine also	3
last time	3
apollo heard	3
bowels came	3
shall either	3
seals men	3
glad indeed	3
thesprotian ship	3
sprang furiously	3
many dead	3
full grown	3
first time	3
others went	3
whole month	3
whereas achilles	3
looked sternly	3
pressed forward	3
devise evil	3
good omen	3
eyed daughter	3
let lie	3
goddess diana	3
lawful husband	3
round shields	3
speak well	3
prayed saying	3
time wore	3
wild fig	3
shall escape	3
lay groaning	3
reached many	3
may stay	3
mortal mould	3
running towards	3
short shrift	3
horses back	3
will try	3
reach home	3
man ever	3
every direction	3
fierce winds	3
now brought	3
deadly place	3
thirty ships	3
glaucus son	3
killed every	3
men also	3
hero laertes	3
taken prisoner	3
funeral pyre	3
yet will	3
shall find	3
go outside	3
miserable old	3
may drive	3
deadly arrows	3
body home	3
place among	3
soon fall	3
came hither	3
now time	3
quiver full	3
dear friends	3
much evil	3
savage creature	3
fell round	3
will live	3
return alive	3
made signs	3
noble patroclus	3
dead though	3
set fire	3
goodly greaves	3
needlework perish	3
false aegisthus	3
public opinion	3
little season	3
back helen	3
seven tripods	3
clotted gore	3
two shepherds	3
immortal steeds	3
valiant soldier	3
great fire	3
achaean ranks	3
wind blowing	3
night sprang	3
woe betides	3
good service	3
king idomeneus	3
many prizes	3
somebody else	3
upper chamber	3
came away	3
others also	3
rivers run	3
one time	3
great cave	3
saying pleased	3
large ransom	3
fell groaning	3
long spears	3
much sorrow	3
eleven cubits	3
argives raised	3
trojan warriors	3
starry heaven	3
door post	3
perish unrecorded	3
night fell	3
us much	3
limbs failed	3
great king	3
till now	3
inner part	3
join battle	3
well know	3
lovely leto	3
drink telemachus	3
spread coverlets	3
counsels among	3
taken heart	3
may grieve	3
telemachus saw	3
maids went	3
still hold	3
two hosts	3
trojan camp	3
agamemnon caught	3
like children	3
long enough	3
nine long	3
pretty close	3
bring sorrow	3
start home	3
well filled	3
leave priam	3
first take	3
fig tree	3
