proper	frequency
"exclaimed--""no"	1
"exclaimed,--""look"	1
example,--after	1
evil	1
evangelist	1
europa	1
euclid	1
eternities	1
et	1
esau	1
erromangoan	1
erromanggoans	1
ergo	1
epitome	1
epilogue	1
entreaty	1
englander	1
england!--oh	1
empire	1
emblem	1
elm	1
ellery	1
eliza	1
elephants	1
elements.--it	1
electors	1
elbe	1
eightieth	1
ehrenbreitstein	1
eh?--it	1
effect,--that	1
edward	1
edmund	1
edgewise	1
edge	1
ecuador	1
eckerman	1
ecclesiastes	1
ebony	1
ebb	1
easy	1
earthsman	1
earls	1
earl	1
dyspepsia	1
dutchman	1
dut	1
durer	1
durand	1
duodecimoes.--these	1
dunkirk	1
dunfermline	1
dunder	1
dun	1
dugongs	1
dry	1
dropping	1
dreamy	1
dreadnaught	1
draws	1
drat	1
dragon	1
drag	1
drab	1
dr	1
doze	1
downward	1
down!--mr	1
down	1
dover	1
dorchester	1
door,--a	1
doom,--that	1
dood	1
dome	1
doer	1
doctor	1
dives	1
diver	1
dismal	1
discovery	1
discourseth	1
dis	1
didst	1
diaz	1
destruction;--''stern	1
desperado	1
despatch	1
desolation	1
deserts,--when	1
descending	1
descartian	1
dericks	1
depart	1
denderah	1
demigod	1
delta	1
deliverer	1
deity	1
deck,--starbuck	1
decanter	1
debell	1
deaden	1
days	1
davenant	1
dauphin	1
dart	1
darmonodes	1
darkly	1
darien	1
dar''st	1
dantean	1
dante	1
danish	1
dampier	1
damocles	1
damned	1
damndest	1
dame	1
dagon	1
da	1
cyclades	1
cxxxv	1
cxxxiv	1
cxxxiii	1
cxxxii	1
cxxxi	1
cxxx	1
cxxviii	1
cxxvii	1
cxxvi	1
cxxv	1
cxxix	1
cxxiv	1
cxxiii	1
cxxii	1
cxxi	1
cxx	1
cxviii	1
cxvii	1
cxvi	1
cxv	1
cxix	1
cxiv	1
cxiii	1
cxi	1
cx	1
cviii	1
cvii	1
cvi	1
cv	1
cutter	1
cut	1
customs--''who	1
cupola	1
cup	1
csarian	1
crusaders	1
cruize	1
cruising	1
cruise	1
cruelty	1
crouch	1
crotch	1
crossing	1
crossed	1
cross	1
crockett	1
"cried--""the"	1
crew	1
crete	1
creamy	1
creagh	1
crazy!--but	1
crazy	1
crappoes	1
cranmer	1
crackest	1
crab	1
cowper	1
cowley	1
court	1
county	1
counterpane	1
count	1
could''st	1
coronation	1
corlears	1
corlaer	1
corkscrew	1
corinthians	1
coral	1
coppered	1
copenhagen	1
cooper	1
cookes	1
cook!--where	1
conversations	1
continents	1
contested	1
contemporary	1
consternation	1
constantine	1
consequence	1
conquest	1
connecticut	1
conjuror	1
congregation	1
cone,--longer	1
con	1
companies	1
commonwealth	1
commons	1
common	1
commodores	1
commercial	1
commanders	1
commander	1
comest	1
colossus	1
colossal	1
colonies	1
coke	1
cognac	1
coenties	1
cods	1
cockatoo	1
cock	1
coal?--firewood?--lucifer	1
cluny	1
clootz	1
cleveland	1
clay	1
claus	1
cix	1
civitas	1
civ	1
circumnavigation	1
circassian	1
ciii	1
cii	1
cibil	1
ci	1
chrysalis	1
christ	1
chowder	1
chorus	1
cholo	1
chilian	1
childe	1
chiefs	1
chick	1
chestnut	1
cherubim	1
cheese	1
chassee	1
chart	1
channel	1
champollion	1
champagne	1
chamois	1
ceylon	1
cetacea	1
central	1
cellini	1
cave	1
caudam	1
cattegat	1
catskill	1
cato	1
catholic	1
categut	1
castaway	1
cast	1
cassock	1
caryatid	1
carthage;--the	1
carson	1
carrol	1
carpet	1
carpenter;--or	1
carey	1
cards;--it	1
caravan	1
caramba	1
caput	1
captain?--ahab	1
capricornus	1
capes	1
cap''ain	1
canterbury	1
canoe	1
canny	1
cannon	1
cannibals	1
cancer	1
canaris	1
canals	1
campagna	1
camel	1
cambyses	1
callest	1
calais	1
caddy	1
cabin	1
c	1
byward	1
butts	1
butler	1
but--	1
business	1
bush	1
burtons	1
burton	1
burkes	1
bunyan	1
"bulwarks--""man"	1
bulwarks	1
buckskin	1
buckets	1
brute	1
brown	1
brotherhood	1
brother	1
brooks	1
british	1
britain	1
brine	1
brigness	1
brighggians	1
brigger	1
breezes	1
bred''ren	1
breathest	1
"breath--""aye"	1
breakwater	1
breakfast	1
brandreth	1
brahmins	1
bracton	1
brack	1
boys!--lay	1
boyhood	1
boy.--middle	1
bowie	1
bowes	1
bout	1
bourbons	1
bottom).--another	1
both!--it	1
bosom	1
borneo	1
borean	1
bordeaux	1
boone	1
books	1
booble	1
bony	1
bonneterre	1
bones	1
bonapartes	1
bombay	1
bolder	1
boggy	1
bob	1
boats:--mark	1
boat!--ah	1
blows!--she	1
blocksburg	1
blindfold	1
bless	1
bleaching	1
blanket	1
blang	1
blanco	1
blanche	1
blanc	1
blackling	1
bitts	1
bitin	1
bison	1
birmah	1
birds!--the	1
biography	1
biographical	1
binnacle	1
betty	1
bess	1
bermudas	1
berlin	1
berkshire	1
berg	1
bentham	1
bendigoes	1
bench	1
belubed	1
bellies	1
belisarius	1
beliest	1
belfast	1
beholdest	1
behold	1
begun	1
beget	1
beech	1
beckett	1
beat!--sir	1
bearskin	1
bears	1
beams	1
beam	1
bays	1
"bawled--""bouton"	1
battery	1
bastile	1
basilosaurus	1
base	1
bartholomew	1
barren	1
baptizo	1
bank!--a	1
bang	1
bandana	1
bamboo	1
baltimore	1
balne	1
bally	1
ballena	1
baling	1
baliene	1
balena	1
baleine	1
baker	1
bag	1
badge	1
bacon	1
backwoods	1
backs	1
back).--of	1
babylon	1
babe	1
b	1
axe!--the	1
avenues,--north	1
avatar	1
auto	1
austrian	1
atlantics	1
astronomy	1
astir	1
asiatics	1
ashantee	1
asa	1
artedi	1
arsacides	1
arsacidean	1
arrah	1
aroostook	1
aroma,--literally	1
arnold	1
arm	1
arkite	1
arkansas	1
argo	1
arethusa	1
archipelagoes	1
apostolic	1
apollo	1
apex	1
antwerp	1
antony	1
antiochus	1
antediluvian	1
"answered--""aye"	1
annus	1
anno	1
annawon	1
annals	1
animated	1
anglo	1
angelo	1
angel	1
andrew	1
anatomist	1
anak	1
anaconda	1
anacharsis	1
amittai	1
americas	1
ambergriese	1
altitude,--how	1
aloud!--mast	1
aloft	1
almighty	1
alley	1
alleghanies	1
alleganian	1
all;--look	1
all;--but	1
all.--why	1
all,--the	1
alien[3	1
algiers	1
aldrovandus	1
aldrovandi	1
aldermen	1
albicore	1
albert	1
albemarle	1
alb	1
aladdin	1
ajar	1
airth	1
air,--but	1
ahaz	1
ahabs	1
ahab?--but	1
"ahab--""is"	1
ah!--i	1
ague	1
agony	1
aghast	1
ages	1
again.--aye	1
"after--""he"	1
africans	1
afresh	1
affidavit	1
affghanistan	1
advocate	1
advancement	1
adroit	1
admirals	1
acushnet	1
actium	1
actest	1
achilles	1
ache	1
account	1
academy	1
abjectus	1
abel	1
abednego	1
a.s.	1
1st	1
--ulloa	1
--this	1
--then	1
--sir	1
--paley	1
--obed	1
--mcculloch	1
--king	1
--john	1
--j.	1
--cook	1
